pic,Picture image,https://www.file-extensions.org/pic-file-extension
png,Portable Network Graphic file,https://www.file-extensions.org/png-file-extension
psd,Adobe Photoshop graphics,https://www.file-extensions.org/psd-file-extension
psdx,Adobe Photoshop Touch graphics,https://www.file-extensions.org/psdx-file-extension
raw,Digital camera photo RAW image format,https://www.file-extensions.org/raw-file-extension
tga,Truevision TarGA bitmap image,https://www.file-extensions.org/tga-file-extension
thm,Thumbnail bitmap image,https://www.file-extensions.org/thm-file-extension-thumbnail-bitmap-image
tif,Aldus Tagged Image File Format (TIFF) bitmap image,https://www.file-extensions.org/tif-file-extension
tiff,Aldus Tagged Image File Format (TIFF) bitmap image,https://www.file-extensions.org/tiff-file-extension
wbmp,Wireless Bitmap image,https://www.file-extensions.org/wbmp-file-extension
wdp,Windows Media HD Photo picture image,https://www.file-extensions.org/wdp-file-extension
webp,Google image file format,https://www.file-extensions.org/webp-file-extension
arw,Sony Digital Camera RAW digital image,https://www.file-extensions.org/arw-file-extension
cr2,Canon digital camera RAW image format version 2.0,https://www.file-extensions.org/cr2-file-extension
crw,Canon digital camera RAW image format,https://www.file-extensions.org/crw-file-extension
dcr,Kodak Digital Camera Raw Image Format,https://www.file-extensions.org/dcr-file-extension
dng,Adobe Digital Negative,https://www.file-extensions.org/dng-file-extension
fpx,Kodak FlashPiX bitmap image,https://www.file-extensions.org/fpx-file-extension
mrw,Minolta Dimage RAW image,https://www.file-extensions.org/mrw-file-extension
nef,Nikon Digital SLR camera RAW image,https://www.file-extensions.org/nef-file-extension
orf,Olympus Digital camera raw image,https://www.file-extensions.org/orf-file-extension
pcd,Kodak Picture CD multiresolution image,https://www.file-extensions.org/pcd-file-extension
ptx,Pentax RAW bitmap graphic file,https://www.file-extensions.org/ptx-file-extension-pentax-raw-bitmap-graphic-file
raf,Fuji CCD-RAW graphic image,https://www.file-extensions.org/raf-file-extension
raw,Digital camera photo RAW image format,https://www.file-extensions.org/raw-file-extension
rw2,Panasonic Lumix RAW image,https://www.file-extensions.org/rw2-file-extension
ai,Adobe Illustrator graphics,https://www.file-extensions.org/ai-file-extension
cdr,CorelDRAW vector or bitmap graphics,https://www.file-extensions.org/cdr-file-extension
